T0000051	268382	150	HOSTAGES		
T0004124	268383	150	ABDUCTION		
T0009039	268385	150	CRIME VICTIMS		
T0000052	268386	150	IDEOLOGY		
T0004680	268387	150	PHILOSOPHY		
T0000097	268388	150	POLITICAL PSYCHOLOGY		
T0000053	268389	150	INDEPENDENT REGULATORY COMMISSIONS		
T0000765	268390	150	ADMINISTRATIVE LAW		
T0005870	268391	150	ELECTRIC POWER RATES		
T0010216	268392	150	ECONOMIC REGULATION		
T0010165	268393	150	REGULATORY AGENCIES		
T0000054	268394	150	INTELLIGENCE SERVICES		
T0000150	268396	150	ESPIONAGE		
T0005639	268397	150	NATIONAL SECURITY		
T0000056	268398	150	INTERNAL SECURITY		
T0000127	268400	150	SUBVERSIVE ACTIVITIES		
T0009522	268401	150	COUNTER-TERRORISM		
T0000058	268402	150	LEGISLATIVE BODIES		
T0000060	268404	150	LEGISLATIVE POWER		
T0007825	268405	150	LEGISLATORS		
T0005943	268406	150	HEARINGS		
T0000461	268407	150	JUDICIAL POWER		
T0000115	268408	150	SEPARATION OF POWERS		
T0000582	268409	150	SOVEREIGNTY		
T0006835	268410	150	STATE REPRESENTATION		
T0000062	268411	150	LENINISM		
T0000636	268412	150	LAISSEZ-FAIRE		
T0000064	268413	150	LOBBYING		
T0000103	268414	150	PRESSURE GROUPS		
T0000068	268415	150	MUNICIPAL GOVERNMENT		
T0004187	268416	150	COMMUNITY POWER		
T0006750	268417	150	HUMAN SETTLEMENTS MANAGEMENT		
T0000809	268418	150	LOCAL FINANCE		
T0000490	268419	150	LOCAL LAWS		
T0003116	268420	150	URBAN PLANNING		
T0000448	268421	150	HABEAS CORPUS		
T0000270	268422	150	MILITARY COURTS		
T0000276	268423	150	MILITARY LAW		
T0000067	268424	150	MONARCHY		
T0004236	268425	150	NOBILITY		
T0000783	268426	150	MUNICIPAL CHARTERS		
T0000069	268427	150	NATIONALISM		
T0004199	268428	150	ETHNICITY		
T0000167	268429	150	INTERNATIONALISM		
T0004233	268430	150	NATIONAL CHARACTERISTICS		
T0000333	268431	150	NATIONAL LIBERATION MOVEMENTS		
T0000107	268432	150	REGIONALISM		
T0000339	268433	150	SELF-DETERMINATION OF PEOPLES		
T0000136	268434	150	ZIONISM		
T0009850	268435	150	ISOLATIONISM		
T0010142	268436	150	ETHNIC CONFLICT		
T0003963	268438	150	ANTI-SEMITISM		
T0003977	268439	150	CONCENTRATION CAMPS		
T0000156	268440	150	HEGEMONISM		
T0000072	268441	150	NEWLY-INDEPENDENT STATES		
T0000702	268442	150	DEVELOPING COUNTRIES		
T0009990	268443	150	INDEPENDENCE		
T0000331	268444	150	DECOLONIZATION		
T0000074	268445	150	STATE SECRETS		
T0000775	268447	150	GOVERNMENT INFORMATION		
T0000180	268448	150	PEACE		
T0006853	268449	150	WAR PREVENTION		
T0000793	268453	150	PUBLIC MEETINGS		
T0005987	268454	150	RULES OF PROCEDURE		
T0000085	268455	150	PEASANT MOVEMENTS		
T0001447	268457	150	AGRARIAN REFORM		
T0006415	268458	150	FARMERS ASSOCIATIONS		
T0009808	268459	150	LABOUR MOVEMENTS		
T0001534	268460	150	PEASANTRY		
T0004284	268461	150	SOCIAL MOVEMENTS		
T0003897	268462	150	TRADE UNIONS		
T0000088	268463	150	POLITICAL ETHICS		
T0004659	268464	150	ETHICS		
T0004719	268465	150	JOURNALISTIC ETHICS		
T0006119	268466	150	POLITICAL CORRUPTION		
T0004273	268467	150	SOCIAL ETHICS		
T0004094	268469	150	CRIME		
T0007195	268470	150	BOMBINGS		
T0000130	268471	150	TREASON		
T0000553	268472	150	EXTRADITION		
T0000096	268473	150	POLITICAL PRISONERS		
T0000101	268474	150	POLITICAL TRIALS		
T0000090	268475	150	POLITICAL PARTICIPATION		
T0000098	268476	150	POLITICAL SOCIALIZATION		
T0000099	268477	150	POLITICAL SOCIOLOGY		
T0000788	268478	150	POPULAR PARTICIPATION		
T0003959	268479	150	WOMEN IN POLITICS		
T0004194	268481	150	ELITE		
T0010025	268482	150	GOVERNMENTS-IN-EXILE		
T0004188	268483	150	COMPARATIVE GOVERNMENT		
T0004243	268484	150	POLITICAL SCIENCE		
T0004297	268485	150	SOCIAL SYSTEMS		
T0000116	268486	150	SOCIALISM		
T0004142	268488	150	PRISONERS		
T0005643	268489	150	AMNESTY		
T0006042	268490	150	DETAINED PERSONS		
T0003998	268491	150	FREEDOM OF THOUGHT		
T0006797	268492	150	PRISONER TREATMENT		
T0004024	268493	150	TORTURE AND OTHER CRUEL TREATMENT		
T0004252	268494	150	PSYCHOLOGY		
T0000105	268495	150	PROPAGANDA		
T0000308	268496	150	PSYCHOLOGICAL WARFARE		
T0004729	268497	150	PUBLIC OPINION		
T0004183	268498	150	COMMUNITY LEADERSHIP		
T0004299	268499	150	SOCIALIZATION		
T0004302	268500	150	SOCIOLOGY		
T0004173	268501	150	AREA STUDIES		
T0004217	268502	150	HISTORICAL SOCIOLOGY		
T0004223	268503	150	OCCUPATIONAL SOCIOLOGY		
T0003119	268504	150	URBAN SOCIOLOGY		
T0004313	268506	150	VIOLENCE		
T0000112	268507	150	RIOTS		
T0006713	268508	150	DIPLOMATS' SECURITY		
T0007826	268509	150	MASSACRES		
T0000528	268510	150	TRIALS		
T0003781	268512	150	EMPLOYERS' ORGANIZATIONS		
T0004731	268513	150	PUBLIC RELATIONS		
T0004720	268514	150	MASS COMMUNICATION		
T0006854	268515	150	WAR PROPAGANDA		
T0004703	268516	150	ADVERTISING		
T0004728	268517	150	PUBLIC INFORMATION		
T0000109	268518	150	REVOLUTIONARIES		
T0004266	268519	150	SOCIAL CHANGE		
T0006013	268522	150	DESTRUCTION OF PROPERTY		
T0003932	268523	150	MAN-MADE DISASTERS		
T0006765	268524	150	JUDICIAL INDEPENDENCE		
T0000463	268525	150	JUDICIAL REVIEW		
T0000698	268526	150	CENTRALLY PLANNED ECONOMIES		
T0004656	268527	150	DIALECTICAL MATERIALISM		
T0000119	268528	150	SMALL STATES		
T0010006	268529	151	USSR		
T0000610	268530	150	ARCHIPELAGIC STATES		
