Doc Symbol	publicaion date	jobs	area	EN	AR
E/ESCWA/30/8	05/29/2018			PROPOSAL FOR THE ESTABLISHMENT OF AN ARAB CENTRE FOR CLIMATE CHANGE POLICIES AT ESCWA :  ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/9	08/24/2018			ACTIVITIES OF THE ESCWA TECHNOLOGY CENTRE OVER THE PERIOD 2016-2017 : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/RFSD/2018/6/REPORT	05/20/2018			REPORT 2018 ARAB FORUM FOR SUSTAINABLE DEVELOPMENT “NATURAL RESOURCES, FUTURE GENERATIONS AND THE COMMON GOOD” UNITED NATIONS HOUSE, BEIRUT, 24-26 APRIL 2018	
E/ESCWA/SDD/2018/1	08/14/2018			DISABILITY IN THE ARAB REGION, 2018	
E/ESCWA/SDD/2017/6	08/07/2018			SOCIAL DEVELOPMENT REPORT 2  : INEQUALITY, AUTONOMY AND CHANGE IN THE ARAB REGION	
E/ESCWA/SD/2018/1	08/23/2018				
E/ESCWA/TDD/2018/INF.1	07/25/2018			FOSTERING OPEN GOVERNMENT IN THE ARAB REGION	
E/ESCWA/CSS/2018/2	05/02/2018			ESCWA PUBLICATIONS CATALOGUE 2016-2017 = ???? ??????? ??????? 2016-2017	
E/ESCWA/DOC/36	08/14/2018			DOCUMENTS AND PUBLICATIONS ISSUED BY ESCWA FROM 1 JANUARY 2016 TO 31 DECEMBER 2017	
E/ESCWA/SDD/2017/TECHNICAL PAPER.20	01/08/2018			2017 SITUATION REPORT ON INTERNATIONAL MIGRATION: MIGRATION IN THE ARAB REGION AND THE 2030 AGENDA FOR SUSTAINABLE DEVELOPMENT : EXECUTIVE SUMMARY	
E/ESCWA/SDPD/2017/RICCAR/SUMMARY	08/28/2017			ARAB CLIMATE CHANGE ASSESSMENT REPORT : EXECUTIVE SUMMARY	
E/ESCWA/SDPD/2017/2	02/13/2017			ARAB REGION PROGRESS IN SUSTAINABLE ENERGY : GLOBAL TRACKING FRAMEWORK REGIONAL REPORT	
E/ESCWA/EDID/2018/TP.4 	07/31/2018			IMPROVING ARAB REGIONAL DEVELOPMENT PLANNING: AN ASSESSMENT OF GOOD ECONOMIC GOVERNANCE TOOLS TO SUPPORT SCIENCE, TECHNOLOGY, AND INNOVATION POLICY-MAKING 	
E/ESCWA/SD/2018/MANUAL.1	09/12/2018			REGIONAL GUIDEBOOK TO IMPROVE DISABILITY DATA COLLECTION AND ANALYSIS IN THE ARAB COUNTRIES : IMPLEMENTING THE WASHINGTON GROUP QUESTIONS ON FUNCTIONING	
