"Doc Symbol"	publicaion date	Jobs	Area	EN	AR		
E/ESCWA/EDID/2017/IG.2/INF.1	06/11/2017	I1700659	UNDOC	INFORMATION NOTE : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	مذكرة توضيحية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/L.1	13/10/2017	I1700606	UNDOC	PROVISIONAL AGENDA AND ANNOTATIONS : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	جدول الاعمال المؤقت والشروح : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/L.2	24/10/2017	I1700622	UNDOC	ORGANIZATION OF WORK : NOTE BY THE SECRETARIAT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	تنظيم الاعمال : مذكرة من الامانة التنفيذية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/3	09/11/2017	I1700668	UNDOC	ACTIONS TAKEN IN THE FIELD OF FINANCING FOR DEVELOPMENT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	التقدم المحرز في مجال تمويل التنمية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/3 (PART II)	09/08/2017	I1700465	UNDOC	ACTIONS TAKEN IN THE FIELD OF FINANCING FOR DEVELOPMENT : IMPLEMENTATION OF ACTIVITIES RELATED TO FINANCING FOR DEVELOPMENT UNDER THE ESCWA PROGRAMME OF WORK SINCE THE PREVIOUS SESSION OF THE COMMITTEE :  ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	التقدم المحرز في مجال تمويل التنمية : تنفيذ الانشطة المتعلقة بتمويل التنمية في اطار برنامج عمل الاسكوا منذ الدورة السابقة للجنة : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/3 (PART I)	09/08/2017	I1700461	UNDOC	ACTIONS TAKEN IN THE FIELD OF FINANCING FOR DEVELOPMENT : IMPLEMENTATION OF RECOMMENDATIONS MADE BY THE COMMITTEE AT ITS PREVIOUS SESSION : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	التقدم المحرز في مجال تمويل التنمية : تنفيذ التوصيات الصادرة عن اللجنة في دورتها السابقة : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/4	15/08/2017	I1700482	UNDOC	IMPLEMENTATION MECHANISMS OF THE ADDIS ABABA ACTION AGENDA : GLOBAL   COMMITMENTS VERSUS ARAB PRIORITIES IN THE FIELD OF FINANCING FOR DEVELOPMENT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	آليات تنفيذ خطة عمل اديس ابابا : الالتزامات العالمية مقابل اولويات المنطقة العربية في مجال تمويل التنمية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/5	09/11/2017	I1700670	UNDOC	THE ARAB FINANCING FOR DEVELOPMENT SCORECARD : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	بطاقة اداء تمويل التنمية في المنطقة العربية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/5(PART I)	15/08/2017	I1700477	UNDOC	THE ARAB FINANCING FOR DEVELOPMENT SCORECARD : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	بطاقة اداء تمويل التنمية في المنطقة العربية : لمحة عن النتائج : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/5(PART II)	15/08/2017	I1700483	UNDOC	THE ARAB FINANCING FOR DEVELOPMENT SCORECARD : DOMESTIC PUBLIC RESOURCES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	بطاقة اداء تمويل التنمية في المنطقةالعربية : الموارد العامة المحلية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/5(PART III)	11/08/2017	I1700470	UNDOC	THE ARAB FINANCING FOR DEVELOPMENT SCORECARD : DOMESTIC AND INTERNATIONAL PRIVATE BUSINESS AND FINANCE : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	بطاقة اداء تمويل التنمية في المنطقة العربية : الاعمال التجارية والتمويلية الخاصة المحلية والدولية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/5(PART IV)	15/08/2017	I1700479	UNDOC	THE ARAB FINANCING FOR DEVELOPMENT SCORECARD : INTERNATIONAL DEVELOPMENT COOPERATION : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	بطاقة اداء تمويل التنمية في المنطقة العربية : التعاون الانمائي الدولي : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/5(PART V)	09/08/2017	I1700458	UNDOC	THE ARAB FINANCING FOR DEVELOPMENT SCORECARD : INTERNATIONAL TRADE AS AN ENGINE FOR DEVELOPMENT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	بطاقة اداء تمويل التنمية في المنطقة العربية : التجارة الدولية كمحرك للتنمية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/5(PART VI)	16/07/2017	I1700485	UNDOC	THE ARAB FINANCING FOR DEVELOPMENT SCORECARD : DEBT AND DEBT SUSTAINABILITY : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	بطاقة اداء تمويل التنمية في المنطقة العربية : الديون والقدرة على تحملها : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/6	09/11/2017	I1700672	UNDOC	FINANCING THE 2030 AGENDA FOR SUSTAINABLE DEVELOPMENT IN THE ARAB COUNTRIES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	تمويل خطة التنمية المستدامة لعام 2030 في المنطقة العربية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
E/ESCWA/EDID/2017/IG.2/7	09/08/2017	I1700456	UNDOC	FEASIBILITY OF  AN ARAB FORUM ON FINANCING FOR DEVELOPMENT : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA) COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT, TWELFTH SESSION (FINANCING FOR DEVELOPMENT), BEIRUT, 4 - 5 DECEMBER 2017	جدوى انشاء منتدى عربي لتمويل التنمية : اللجنة الاقتصادية والاجتماعية لغربي آسيا (الاسكوا). اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية، الدورة الثانية عشرة (تمويل التنمية)، بيروت، 4 - 5 كانون الاول/ديسمبر 2017		
