E/ESCWA/30/14	05/29/2018	I1800236	TECHNICAL COOPERATION AND REGIONAL ADVISORY SERVICES ; ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0000756;T0000714;T0010275;T0006045;T0005547;T0007920
E/ESCWA/30/15	04/11/2018	I1800153	FINANCIAL STATUS OF THE COMMISSION : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0005935;T0006045;T0009701;T0000813;T0007909;T0005547;T0007920
E/ESCWA/30/16	04/25/2018	I1800190	PROPOSED AMENDMENTS TO THE STRATEGIC FRAMEWORK AND PROGRAMME OF WORK FOR THE BIENNIUM 2018-2019 : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0006000;T0005962;T0005963;T0005547;T0006045
E/ESCWA/30/17	04/19/2018	I1800171	TECHNOLOGY FOR SUSTAINABLE DEVELOPMENT : CREATING DECENT JOBS AND EMPOWERING YOUTH IN ARAB COUNTRIES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0004943;T0004946;T0003643;T0013534;T0010646;T0006857;T0001819;T0004924;T0005529;T0006409;T0000151;T0007920
E/ESCWA/30/17/CRP.1	05/17/2018	I1800216	TECHNOLOGY FOR SUSTAINABLE DEVELOPMENT IN THE ARAB REGION ROUNDTABLES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0004943;T0004946;T0001129;T0005991;T0005928;T0005930;T0005529;T0007920
E/ESCWA/30/18/REPORT	08/13/2018	I1800274	REPORT OF THE THIRTIETH SESSION, 25 - 28 JUNE 2018, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA, ECONOMIC AND SOCIAL COUNCIL, OFFICIAL RECORDS, SUPPLEMENT NO. 21		T0005949;T0006045;T0005547;T0001129;T0000714;T0000756;T0000667;T0004268;T0006034;T0005529;T0007920
E/ESCWA/30/3	05/15/2018	I1800209	CONSIDERATION OF REQUESTS BY STATES OF THE UNITED NATIONS AND/OR ITS SPECIALIZED AGENCIES THAT ARE NOT MEMBERS OF ESCWA TO PARTICIPATE AS OBSERVERS IN THE THIRTIETH SESSION OF THE COMMISSION, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0006045;T0005547;T0007920;T0006034;T0000184
E/ESCWA/30/4	05/14/2018	I1800206	MEGATRENDS IN THE TRANSPORT SECTOR AND THEIR IMPACT ON THE ARAB REGION (CONCEPT NOTE) : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0002311;T0005928;T0005991;T0004945;T0004984;T0006824;T0005151;T0005529;T0007920
E/ESCWA/30/5	05/24/2018	I1800227	SUPPORT FOR THE PALESTINIAN PEOPLE : IMPACT OF THE ISRAELI OCCUPATION AND PRACTICES, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0005881;P0000586;T0005505;T0000169;T0005928;T0000667;T0009835;T0004268
E/ESCWA/30/6	06/05/2018	I1800250	OUTCOMES OF THE 2018 ARAB FORUM ON SUSTAINABLE DEVELOPMENT, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0001129;T0010624;T0004357;T0000672;T0010458;T0000722;T0001144;T0005529;T0007920
E/ESCWA/30/7	05/23/2018	I1800223	LINKS BETWEEN INFORMATION AND COMMUNICATION TECHNOLOGY PROCESSES AND SUSTAINABLE DEVELOPMENT, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0006386;T0002519;T0001129;T0013306;T0005529;T0007920
E/ESCWA/30/8	05/29/2018	I1800230	PROPOSAL FOR THE ESTABLISHMENT OF AN ARAB CENTRE FOR CLIMATE CHANGE POLICIES AT ESCWA :  ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0005151;T0007893;T0005529;T0010275;T0000756;T0000714;T0007920
E/ESCWA/30/9	08/24/2018	I1800204	ACTIVITIES OF THE ESCWA TECHNOLOGY CENTRE OVER THE PERIOD 2016-2017 : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0004946;T0007893;T0006124;T0006045;T0005547;T0005529;T0005996;T0000714;T0007920
E/ESCWA/30/INF.1	06/18/2018	I1800201	INFORMATION FOR PARTICIPANTS, UNITED NATIONS ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0006045;T0005547;T0005957;T0004792;T0007920
E/ESCWA/30/INF.2	05/24/2018	I1800233	LIST OF DOCUMENTS : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0006045;T0007920;T0004781;T0005547
E/ESCWA/30/L.1	05/24/2018	I1800225	PROVISIONAL AGENDA AND ANNOTATIONS, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0006045;T0007920;T0005915
E/ESCWA/30/L.2	06/11/2018	I1800261	ORGANIZATION OF WORK : NOTE BY THE SECRETARIAT, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018		T0006045;T0005547;T0005999;T0007920
E/ESCWA/CSS/2018/2	05/02/2018	I1800107	ESCWA PUBLICATIONS CATALOGUE 2016-2017 = ???? ??????? ??????? 2016-2017		T0005975;T0005922;T0006045;T0000731;T0004271;T0004271;T0000896;T0001118;T0001129;T0004190;T0004946;T0005529
E/ESCWA/C.1/19/4(PARTI)/ADD.5	04/01/1997	I9700173	REPORT ON THE ACTIVITIES OF THE TRANSPORT AND COMMUNICATIONS DECADE IN WESTERN ASIA : PHASE 2 (1992-1996)		T0002311;T0002520;T0005547;T0005770;T0006762
